latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,elevation,slope,aspect
39.437763,20.607416,332.24,0.53,0.5,01-01-17,01:17:37,N,VIIRS,n,1,281.34,3.69,D,0,5.8,-3.6,0.2,0.0,7.3,158,13.83428574,9.590236664
40.636646,22.821739,338.54,0.39,0.44,01-01-17,01:17:37,N,VIIRS,n,1,282.04,4.62,D,0,7.6,-1.9,1.8,0.0,14.8,7,0.927409947,0.0
40.664516,22.654505,325.05,0.4,0.44,01-01-17,01:17:37,N,VIIRS,n,1,283.51,2.47,D,0,7.2,-3.6,0.7,0.0,13.0,17,2.212763071,146.918335
40.602314,22.800253,325.55,0.39,0.44,01-01-17,01:17:37,N,VIIRS,n,1,282.5,1.58,D,0,7.5,-1.1,2.2,0.0,15.5,11,2.588685036,110.9800415
40.616047,22.824442,337.78,0.39,0.44,01-01-17,01:17:37,N,VIIRS,n,1,283.22,4.67,D,3,7.5,-1.1,2.2,0.0,15.5,3,4.420019627,326.8968811
40.636848,22.605183,326.78,0.4,0.44,01-01-17,01:17:37,N,VIIRS,n,1,282.99,2.73,D,0,6.9,-2.5,1.3,0.0,12.4,738,3.767868519,75.77070618
40.635712,22.797741,345.35,0.39,0.44,01-01-17,01:17:37,N,VIIRS,n,1,283.3,5.15,D,0,7.6,-1.9,1.8,0.0,14.8,18,3.672415972,284.6083374
38.565296,23.296576,314.97,0.64,0.72,01-01-17,01:38:35,N,VIIRS,n,1,274.38,3.81,N,3,8.4,0.2,4.9,2.9,14.6,1158,38.1937294,157.8049011
38.564331,23.292213,319.01,0.64,0.72,01-01-17,01:38:35,N,VIIRS,n,1,276.48,4.03,N,2,8.5,0.3,4.9,2.9,14.6,182,5.616618633,240.4085541
39.062717,26.261042,330.87,0.49,0.48,02-01-17,01:17:17,N,VIIRS,n,1,282.49,2.5,D,0,7.4,0.1,3.9,0.0,11.9,195,5.224632263,110.7358932
40.615417,22.665443,342.65,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,281.89,2.78,D,0,8.7,-4.7,-0.1,0.0,7.9,94,3.703232527,41.38217926
40.585835,22.748024,350.18,0.33,0.56,02-01-17,01:17:18,N,VIIRS,n,1,283.79,4.8,D,0,8.5,-2.5,1.6,0.0,11.2,900,1.466443896,50.77716064
40.599674,22.758949,334.19,0.33,0.56,02-01-17,01:17:18,N,VIIRS,n,1,283.28,1.7,D,0,8.5,-2.5,1.6,0.0,11.2,111,18.77736092,128.2408142
40.614071,22.666613,340.1,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,281.72,2.8,D,0,8.7,-4.7,-0.1,0.0,7.9,156,8.36992836,171.9745941
40.977913,22.551508,353.47,0.33,0.56,02-01-17,01:17:18,N,VIIRS,n,1,282.83,5.17,D,0,8.3,-4.2,2.0,0.0,8.9,86,2.208220959,212.9001465
40.976902,22.547672,354.2,0.33,0.56,02-01-17,01:17:18,N,VIIRS,n,1,282.56,5.17,D,0,8.3,-4.2,2.0,0.0,8.9,199,14.30679131,214.3928223
40.638218,22.668217,351.17,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,283.73,3.51,D,0,8.4,-6.2,-0.8,0.0,11.5,20,3.642106056,255.2670135
40.588394,22.673803,342.17,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,281.97,2.89,D,0,8.7,-4.7,-0.1,0.0,7.9,102,12.90013504,211.9895172
40.57534,22.645052,349.22,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,282.49,4.43,D,0,8.7,-4.7,-0.1,0.0,7.9,128,14.90726662,13.36599445
40.741558,22.213139,353.71,0.35,0.57,02-01-17,01:17:18,N,VIIRS,n,1,282.56,5.4,D,0,6.9,-4.3,0.3,0.0,8.6,173,22.58224869,303.0189514
40.808216,22.209961,335.22,0.35,0.57,02-01-17,01:17:18,N,VIIRS,n,1,283.07,3.28,D,0,9.3,-3.5,2.2,0.0,9.2,274,26.63916397,29.3875885
40.593025,22.817249,332.32,0.33,0.55,02-01-17,01:17:18,N,VIIRS,n,1,283.54,1.53,D,0,8.5,-2.5,1.6,0.0,11.2,332,9.267400742,7.221684456
40.537277,22.605598,331.02,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,279.98,2.62,D,0,8.6,-2.5,1.3,0.0,8.7,0,2.371099234,270.0
40.70554,22.525038,328.19,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,282.41,1.26,D,0,8.1,-4.4,1.3,0.0,10.0,17,9.019099236,294.0756226
40.576206,22.627293,326.59,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,282.02,1.62,D,0,8.7,-4.7,-0.1,0.0,7.9,205,2.532380104,68.52999115
40.583126,22.800411,332.15,0.33,0.55,02-01-17,01:17:18,N,VIIRS,n,1,283.64,2.27,D,0,8.5,-2.5,1.6,0.0,11.2,93,3.020855427,336.9603271
40.646507,22.595245,346.39,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,283.01,3.07,D,0,8.9,-4.0,0.4,0.0,7.9,458,4.027475834,62.62431717
40.645477,22.591347,328.62,0.34,0.56,02-01-17,01:17:18,N,VIIRS,n,1,282.73,3.07,D,0,8.9,-4.0,0.4,0.0,7.9,22,5.981211662,278.8880005
38.349888,21.579411,337.69,0.39,0.59,02-01-17,01:20:18,N,VIIRS,n,1,285.89,2.5,D,0,12.3,3.3,7.9,0.0,9.0,205,5.978907108,128.188797
40.616535,22.635078,339.84,0.46,0.63,02-01-17,01:20:19,N,VIIRS,n,1,284.15,3.63,D,0,8.7,-4.7,-0.1,0.0,7.9,121,1.505040407,128.0329742
41.098537,23.469727,342.74,0.51,0.66,02-01-17,01:20:19,N,VIIRS,n,1,282.89,4.43,D,0,7.0,0.9,4.0,0.0,6.8,110,12.70300198,338.9987183
40.845615,22.647068,346.85,0.46,0.63,02-01-17,01:20:19,N,VIIRS,n,1,285.9,6.05,D,0,7.8,-3.3,0.8,0.0,9.4,710,5.018666744,137.5054321
40.848778,22.644526,353.6,0.46,0.63,02-01-17,01:20:19,N,VIIRS,n,1,286.9,7.14,D,0,7.8,-3.3,0.8,0.0,9.4,713,10.13190556,95.19728851
41.041813,25.438988,341.04,0.64,0.72,02-01-17,01:20:19,N,VIIRS,n,1,284.3,4.77,D,0,7.6,-4.2,-0.3,0.0,10.8,75,17.13324547,183.8833313
40.580936,22.731823,325.75,0.46,0.64,02-01-17,01:20:19,N,VIIRS,n,1,283.48,5.54,D,0,8.5,-2.5,1.6,0.0,11.2,21,1.230784059,90.0
40.613152,22.63472,335.45,0.46,0.63,02-01-17,01:20:19,N,VIIRS,n,1,284.63,3.77,D,0,8.7,-4.7,-0.1,0.0,7.9,21,1.230784059,90.0
40.519768,22.598991,351.18,0.45,0.63,02-01-17,01:20:19,N,VIIRS,n,1,283.84,4.11,D,0,8.6,-2.5,1.3,0.0,8.7,180,4.491285324,128.1890106
